Modelo,Precisión (P),Recall (R),F1-Score,mAP@50,mAP@50-95,Latencia (ms),VRAM (MB)
CYOLO8n_run,0.8947,0.8862,0.8825,0.531,20.41,429.79
YOLOv8n_1280_Optuna,0.9926,0.8947,0.9411,0.9399,0.6057,17.19,430.88
